age,no_of_children,net_yearly_income,no_of_days_employed,total_family_members,migrant_worker,yearly_debt_payments,credit_limit,credit_limit_used(%),credit_score,prev_defaults,default_in_last_6months,gender_F,gender_M,gender_XNA,owns_car_Y,owns_house_Y,occupation_type_Accountants,occupation_type_Cleaning staff,occupation_type_Cooking staff,occupation_type_Core staff,occupation_type_Drivers,occupation_type_HR staff,occupation_type_High skill tech staff,occupation_type_IT staff,occupation_type_Laborers,occupation_type_Low-skill Laborers,occupation_type_Managers,occupation_type_Medicine staff,occupation_type_Private service staff,occupation_type_Realty agents,occupation_type_Sales staff,occupation_type_Secretaries,occupation_type_Security staff,occupation_type_Unknown,occupation_type_Waiters/barmen staff,credit_card_default
0.75,0.0,0.0011525221126694,0.9999972621492128,0.0,0.0,0.0506348147370072,0.0013448163563661,0.5353535353535354,0.8106904231625836,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.21875,0.0,0.0016961975087091,0.0080273785078713,0.1111111111111111,1.0,0.1340674728459857,0.0016023280317422,0.5353535353535354,0.3585746102449889,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.96875,0.0,0.0013644013828531,0.0036577686516084,0.1111111111111111,0.0,0.126125203870105,0.0007591731924116,0.2929292929292929,0.9643652561247216,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.03125,0.1111111111111111,0.0016731079935642,0.0029103353867214,0.2222222222222222,0.0,0.1227154342646126,0.0013703860034409,0.8787878787878788,0.3563474387527839,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.46875,0.1111111111111111,0.0008401809300497,0.0127748117727583,0.2222222222222222,0.0,0.0611973797714518,0.0005060819418998,1.0,0.4365256124721604,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.0,0.0023720581282191,0.0078439425051334,0.1111111111111111,0.0,0.2496058385998402,0.0011922398935498,0.1818181818181818,0.734966592427617,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0007623648520746,0.0034770704996577,0.1111111111111111,1.0,0.1553866955095934,0.0004224636571817,0.2828282828282828,0.7171492204899778,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9375,0.0,0.0018560186242519,0.0106365503080082,0.1111111111111111,0.0,0.1902346169804353,0.0012907682369589,0.1313131313131313,0.5211581291759465,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.65625,0.0,0.0011579527244519,0.0080793976728268,0.1111111111111111,0.0,0.075869276289934,0.0011091860892798,0.3131313131313131,0.6080178173719376,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.59375,0.0,0.0012376199115725,0.9999671457905543,0.1111111111111111,0.0,0.0713154190624827,0.0009018514889626,0.1111111111111111,0.6525612472160356,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
